xiiMaterialResourceSlot;Material Slot
xiiSurfaceResourceSlot;Surface Slot
Cap;Cap;Whether to put a cap polygon at the end
Cap 2;Cap Bottom;Whether to put a cap polygon at the other end
Prim.Sphere.Detail1;Sphere Segments;Number of segments in the sphere
Prim.Sphere.Detail2;Sphere Stacks;Number of stacks in the sphere
Prim.Torus.Detail1;Segments;Number of segments in the sphere
Prim.Torus.Detail2;Ring Detail;Number of polygons in each segment
Prim.Torus.Radius1;Inner Radius
Prim.Torus.Radius2;Outer Radius
Prim.GeoSphere.Detail;Subdivisions;How often to subdivide the sphere, adding more and more detail. Should be between 1 and 3.
Prim.Cylinder.Detail;Detail;How detailed to make the rounding
Prim.Cylinder.Radius1;Radius Top
Prim.Cylinder.Radius2;Radius Bottom
Prim.Cylinder.Angle;Angle;How much of the cylinder to use. 360 is the full cylinder, 180 is only half of it.
Prim.Cylinder.Cap1;Cap Top;Whether to cap the top
Prim.Cylinder.Cap2;Cap Bottom;Whether to cap the bottom
Prim.Rect.Detail1;Tesselation X;Number subdivisions along the X axis
Prim.Rect.Detail2;Tesselation Z;Number subdivisions along the Z axis
xiiTexture2DChannelMappingEnum::R1;Red - Single Input
xiiTexture2DChannelMappingEnum::RG1;Red Green - Single Input
xiiTexture2DChannelMappingEnum::R1_G2;RG - Input1.r, Input2.r
xiiTexture2DChannelMappingEnum::RGB1;RGB - Single Input
xiiTexture2DChannelMappingEnum::R1_G2_B3;RGB - Input1.r, Input2.r, Input3.r
xiiTexture2DChannelMappingEnum::RGBA1;RGBA - Single Input
xiiTexture2DChannelMappingEnum::RGB1_A2;RGBA - Input1.rgb, Input2.r
xiiTexture2DChannelMappingEnum::R1_G2_B3_A4;RGBA - Input1.r, Input2.r, Input3.r, Input4.r
xiiTexture2DChannelMappingEnum::RGB1_ABLACK;RGBA - Input1.rgb, Alpha = Black
xiiTextureCubeChannelMappingEnum::RGB1;Cubemap: RGB - Single Input
xiiTextureCubeChannelMappingEnum::RGBA1;Cubemap: RGBA - Single Input
xiiTextureCubeChannelMappingEnum::RGB1TO6;Cubemap: RGB - 6 Inputs
xiiTextureCubeChannelMappingEnum::RGBA1TO6;Cubemap: RGBA - 6 Inputs
Color CPs;Color Control Points
Alpha CPs;Alpha Control Points
Intensity CPs;Intensity Control Points
xiiColorControlPoint;Color
xiiAlphaControlPoint;Alpha
xiiIntensityControlPoint;Intensity
xiiPropertyAnimComponent;Property Animation;;https://xiiengine.net/pages/docs/animation/property-animation/property-animation-component.html
Curves;Curves
xiiCurve1DData;Curve Data
Control Points;Control Points
xiiCurve1DControlPoint;Control Point
Animations;Animations
xiiPropertyAnimEntry;Animation
xiiPropertyAnimMode::Once;Once
xiiPropertyAnimMode::Loop;Loop
xiiPropertyAnimMode::BackAndForth;Back and Forth
xiiPropertyAnimTarget::Number;Number
xiiPropertyAnimTarget::VectorX;Vector X
xiiPropertyAnimTarget::VectorY;Vector Y
xiiPropertyAnimTarget::VectorZ;Vector Z
xiiPropertyAnimTarget::VectorW;Vector W
xiiPropertyAnimTarget::Color;Color
ShaderProperties;Shader Properties
Input 1;Input 1
Input 2;Input 2
Input 3;Input 3
Input 4;Input 4
Input 5;Input 5
Input 6;Input 6
Right (+X);Right (+X)
Left (-X);Left (-X)
Top (+Y);Top (+Y)
Bottom (-Y);Bottom (-Y)
Front (+Z);Front (+Z)
Back (-Z);Back (-Z)
xiiMaterialShaderMode::File;From File
xiiMaterialShaderMode::Custom;Visual Shader
xiiMaterialShaderMode::BaseMaterial;From Base Material
Project.SceneImport;Import Scene
VisualShader.CleanGraph;Clean Visual Shader Graph
TextureAsset.ChannelMode;
xiiTextureChannelMode::RGBA;Display Channel: RGB*A
xiiTextureChannelMode::RGB;Display Channel: RGB
xiiTextureChannelMode::Red;Display Channel: Red
xiiTextureChannelMode::Green;Display Channel: Green
xiiTextureChannelMode::Blue;Display Channel: Blue
xiiTextureChannelMode::Alpha;Display Channel: Alpha
xiiTextureFilterSetting::FixedNearest;Fixed: Nearest
xiiTextureFilterSetting::FixedBilinear;Fixed: Bilinear
xiiTextureFilterSetting::FixedTrilinear;Fixed: Trilinear
xiiTextureFilterSetting::FixedAnisotropic2x;Fixed: Anisotropic 2x
xiiTextureFilterSetting::FixedAnisotropic4x;Fixed: Anisotropic 4x
xiiTextureFilterSetting::FixedAnisotropic8x;Fixed: Anisotropic 8x
xiiTextureFilterSetting::FixedAnisotropic16x;Fixed: Anisotropic 16x
xiiTextureFilterSetting::LowestQuality;Lowest Quality
xiiTextureFilterSetting::LowQuality;Low Quality
xiiTextureFilterSetting::DefaultQuality;Default Quality
xiiTextureFilterSetting::HighQuality;High Quality
xiiTextureFilterSetting::HighestQuality;Highest Quality
TextureAsset.LodSlider;Mipmap
xiiTexture2DResolution::Fixed64x64;64 * 64
xiiTexture2DResolution::Fixed128x128;128 * 128
xiiTexture2DResolution::Fixed256x256;256 * 256
xiiTexture2DResolution::Fixed512x512;512 * 512
xiiTexture2DResolution::Fixed1024x1024;1024 * 1024
xiiTexture2DResolution::Fixed2048x2048;2048 * 2048
xiiTexture2DResolution::CVarRtResolution1;CVar RT Resolution 1
xiiTexture2DResolution::CVarRtResolution2;CVar RT Resolution 2
xiiTextureCubeUsageEnum::Unknown;Unknown
xiiTextureCubeUsageEnum::Skybox;Skybox
xiiTextureCubeUsageEnum::LookupTable;Lookup Table
xiiTextureCubeUsageEnum::SkyboxHDR;Skybox HDR
xiiTextureCubeUsageEnum::Other_sRGB;Other sRGB
xiiTextureCubeUsageEnum::Other_Linear;Other Linear
xiiMeshPrimitive::File;From File
xiiMeshPrimitive::Box;Box
xiiMeshPrimitive::Rect;Rectangle
xiiMeshPrimitive::Cylinder;Cylinder
xiiMeshPrimitive::Cone;Cone
xiiMeshPrimitive::Pyramid;Pyramid
xiiMeshPrimitive::Sphere;Sphere
xiiMeshPrimitive::HalfSphere;Half Sphere
xiiMeshPrimitive::GeodesicSphere;Geodesic Sphere
xiiMeshPrimitive::Capsule;Capsule
xiiMeshPrimitive::Torus;Torus
xiiMeshNormalPrecision::_10Bit;10 Bit
xiiMeshNormalPrecision::_16Bit;16 Bit
xiiMeshNormalPrecision::_32Bit;32 Bit
xiiMeshTexCoordPrecision::_16Bit;16 Bit
xiiMeshTexCoordPrecision::_32Bit;32 Bit
VisScript.PickDebugTarget;Pick Debug Target...
xiiMaterialAnimComponent;Material Animation
xiiCollectionAssetEntry;Collection Asset Entry
Entries;Entries
ControlPoints;Control Points
TextureCubeAsset.LodSlider;Level of Detail
TextureImport.Diffuse;Diffuse Texture
TextureImport.Normal;Normal Map
TextureImport.HDR;HDR Texture
TextureImport.Linear;Linear Texture
TextureImport.Occlusion;Occlusion Texture
TextureImport.Height;Height Map Texture
TextureImport.Metalness;Metalness Texture
TextureImport.Roughness;Roughness Texture
TextureImport.ORM;Occlusion / Roughness / Metalness
xiiDecalMode::BaseColor;Base Color
xiiDecalMode::BaseColorNormal;Base Color, Normal
xiiDecalMode::BaseColorORM;Base Color, ORM
xiiDecalMode::BaseColorNormalORM;Base Color, Normal, ORM
